ID,Type,On,Off
S1010,tGUI,9:20:24,9:20:31
S1010,tGUI,9:20:36,9:20:40
S1010,tGUI,9:20:41,9:20:44
S1010,tGUI,9:20:45,9:20:52
S1010,tGUI,9:20:52,9:20:57
S1010,tGUI,9:20:59,9:21:01
S1010,tGUI,9:21:02,9:21:12
S1010,tGUI,9:21:13,9:21:18
S1010,tGUI,9:21:22,9:21:23
S1010,tGUI,9:21:25,9:21:31
S1010,tGUI,9:21:35,9:21:38
S1010,tGUI,9:21:42,9:21:52
S1010,tGUI,9:21:52,9:21:58
S1010,tGUI,9:22:00,9:22:07
S1010,tGUI,9:22:09,9:22:13
S1010,tGUI,9:22:17,9:22:22
S1010,tGUI,9:22:22,9:22:33
S1010,tGUI,9:22:38,9:22:39
S1010,tGUI,9:22:43,9:22:52
S1010,tGUI,9:22:56,9:22:59
S1010,tGUI,9:23:05,9:23:07
S1010,tGUI,9:23:14,9:23:22
S1010,tGUI,9:23:22,9:23:28
S1010,tGUI,9:23:37,9:23:42
S1010,tGUI,9:25:22,9:25:40
S1010,tGUI,9:25:41,9:25:46
S1010,tGUI,9:25:47,9:25:52
S1010,tGUI,9:25:54,9:25:56
S1010,tGUI,9:26:02,9:26:08
S1010,tGUI,9:26:22,9:26:23
S1010,tGUI,9:26:28,9:26:36
S1010,tGUI,9:26:44,9:26:52
S1010,tGUI,9:26:55,9:27:03
S1010,tGUI,9:27:10,9:27:22
S1010,tGUI,9:27:30,9:27:33
S1010,tGUI,9:27:52,9:27:52
S1010,tGUI,9:27:56,9:28:04
S1010,tGUI,9:28:15,9:28:22
S1010,tGUI,9:28:25,9:28:28
S1010,tGUI,9:28:52,9:28:54
S1010,tGUI,9:29:22,9:29:43
S1010,tGUI,9:29:52,9:29:57
S1010,tGUI,9:30:05,9:30:11
S1010,tGUI,9:30:15,9:30:22
S1010,tGUI,9:30:44,9:30:52
S1010,tGUI,9:31:02,9:31:22
S1010,tGUI,9:31:29,9:32:00
S1010,tGUI,9:32:22,9:33:22
S1010,EMG,8:25:27,8:25:29
S1010,EMG,8:26:08,8:26:09
S1010,EMG,8:26:10,8:26:11
S1010,EMG,8:27:45,8:27:46
S1010,EMG,9:30:11,9:30:11
S1011,tGUI,8:41:57,8:42:13
S1011,tGUI,8:45:35,8:45:56
S1011,tGUI,8:46:57,8:47:05
S1011,tGUI,8:50:57,8:51:12
S1011,tGUI,8:52:04,8:52:10
S1011,tGUI,8:52:27,8:52:46
S1011,tGUI,8:55:27,8:55:47
